_id,amountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc4648fde51373d690b845d),2.5,كرافيتة,Nick Tie,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46495de51373d690b8468),30,فستان قطعتين,Dress 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464a8de51373d690b8473),5.5,قميص نوم,Night Gown ,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464aede51373d690b847e),15,فستان,Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464b5de51373d690b8489),20,ستائر,Curtain,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc464cade51373d690b8494),16,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464cede51373d690b849f),60,فستان مسائية,Evening Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464e9de51373d690b84aa),26,فروة,Farwah,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc464e9de51373d690b84b5),25,فستان قطعتين,Dress 2 pcs,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464fbde51373d690b84c0),7,اوفر كوت,Over Coat,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46501de51373d690b84cb),5.2,غترة,Ghutra,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4651ade51373d690b84d6),10,جاكيت,Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46526de51373d690b84e1),4,بيجاما قطعتين,Pajama 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46536de51373d690b84ec),10,كوت," Coat",ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46538de51373d690b84f7),20,فستان,Dress,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46547de51373d690b8502),8,بدلة باكستاني,Pakistani Dress Starch,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4655cde51373d690b850d),20,جاكيت نسائي,Lady Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46565de51373d690b8518),2,بدلة باكستاني,Pakistani Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4657ade51373d690b8523),75,فستان مسائية,Evening Dress,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46588de51373d690b852e),2,وجة مخدة كبير,Pillow case large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4659bde51373d690b8539),70,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465a2de51373d690b8544),5,مخدة,Pillow,ObjectId(5bc45d22de51373d690b8226),
ObjectId(5bc465a3de51373d690b854f),25,فروة,Farwah,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465c1de51373d690b855a),60,جاكيت جلد صناعي,Leather Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465cfde51373d690b8565),3.5,غترة,Ghutra,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc465d1de51373d690b8570),20,تنورة تكسير,Plate Skirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc465e6de51373d690b857b),15.4,بدلة عسكرية,Military Suit,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc465f2de51373d690b8586),10.75,جاكيت,Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465fade51373d690b8591),5,سجاد عادي,Regular Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc4660ade51373d690b859c),3.5,كرافيتة,Nick Tie,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46614de51373d690b85a7),3.5,طرحة,Scarf,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46621de51373d690b85b2),9,بالطو,Lab Coat,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
